name,street,city,postal,address,Latitude,Longitude,,date
Food Basics Pharmacy,1405 Ottawa St N,"Kitchener, ON",N2A 1H3,"1405 Ottawa St N Kitchener, ON N2A 1H3",43.4566873,-80.4317775,43.4566873-80.4317775,2021-03-29
Frederick Mall Pharmacy,385 Frederick St Unit 15,"Kitchener, ON",N2H 2P2,"385 Frederick St Unit 15 Kitchener, ON N2H 2P2",43.4570249,-80.4726292,43.4570249-80.4726292,2021-03-29
Westmount Place Pharmacy,50 Wmount Rd N,"Waterloo, ON",N2L 2R5,"50 Wmount Rd N Waterloo, ON N2L 2R5",43.4616605,-80.5370735,43.4616605-80.5370735,2021-03-29
Sobeys Pharmacy,450 Columbia St W,"Waterloo, ON",N2T 2W1,"450 Columbia St W Waterloo, ON N2T 2W1",43.4680008,-80.5684957,43.4680008-80.5684957,2021-03-29
Rexall,523 Maple Grove Rd,"Oakville, ON",L6J 4W3,"523 Maple Grove Rd Oakville, ON L6J 4W3",43.4794523,-79.6575346,43.4794523-79.6575346,2021-03-29
Walmart Pharmacy,235 Hays Blvd,"Oakville, ON",L6H 6M8,"235 Hays Blvd Oakville, ON L6H 6M8",43.4828883,-79.7192764,43.4828883-79.7192764,2021-03-29
Metro Pharmacy,1011 Upper Middle Rd E,"Oakville, ON",L6H 4L2,"1011 Upper Middle Rd E Oakville, ON L6H 4L2",43.483727,-79.6945815,43.483727-79.6945815,2021-03-29
Alphamed Pharmacy,460 Albert St,"Waterloo, ON",N2L 6J8,"460 Albert St Waterloo, ON N2L 6J8",43.4857768,-80.5403074,43.4857768-80.5403074,2021-03-29
Campbellville Pharmacy,35 Crawford Crescent,"Campbellville, ON",L0P 1B0,"35 Crawford Crescent Campbellville, ON L0P 1B0",43.4880814,-79.9847031,43.4880814-79.9847031,2021-03-29
Rexall,6541 Derry Rd,"Milton, ON",L9T 7W1,"6541 Derry Rd Milton, ON L9T 7W1",43.4921441,-79.8780709,43.4921441-79.8780709,2021-03-29
Shoppers Drug Mart,6951 Derry Rd W,"Milton, ON",L9T 7H5,"6951 Derry Rd W Milton, ON L9T 7H5",43.4975595,-79.8740899,43.4975595-79.8740899,2021-03-29
Shoppers Drug Mart,1020 Kennedy Circle,"Milton, ON",L9T 0J9,"1020 Kennedy Circle Milton, ON L9T 0J9",43.5079983,-79.8388655,43.5079983-79.8388655,2021-03-29
Truscott Pharmacy,2425 Truscott Dr,"Mississauga, ON",L5J 2B4,"2425 Truscott Dr Mississauga, ON L5J 2B4",43.5124491,-79.6484562,43.5124491-79.6484562,2021-03-29
Drugstore Pharmacy,160 Kortright Rd W,"Guelph, ON",N1G 4W2,"160 Kortright Rd W Guelph, ON N1G 4W2",43.5137432,-80.2181014,43.5137432-80.2181014,2021-03-29
Costco Pharmacy,3180 Laird Rd,"Mississauga, ON",L5L 6A2,"3180 Laird Rd Mississauga, ON L5L 6A2",43.521047,-79.6889729,43.521047-79.6889729,2021-03-29
Carriage Crossing Pharmacy,105 Oak Park Dr Unit 4,"Waterloo, ON",N2K 0B3,"105 Oak Park Dr Unit 4 Waterloo, ON N2K 0B3",43.5216075,-80.4983388,43.5216075-80.4983388,2021-03-29
Drugstore Pharmacy,1045 Paisley Rd,"Guelph, ON",N1K 1X6,"1045 Paisley Rd Guelph, ON N1K 1X6",43.5224689,-80.2894468,43.5224689-80.2894468,2021-03-29
Costco Pharmacy,19 Elmira Rd S,"Guelph, ON",N1K 0B6,"19 Elmira Rd S Guelph, ON N1K 0B6",43.522647,-80.2950195,43.522647-80.2950195,2021-03-29
Shoppers Drug Mart,2225 Erin Mills Parkway,"Mississauga, ON",L5K 1T9,"2225 Erin Mills Parkway Mississauga, ON L5K 1T9",43.5307487,-79.6533683,43.5307487-79.6533683,2021-03-29
Walmart Pharmacy,1280 Steeles Ave E,"Milton, ON",L9T 6R1,"1280 Steeles Ave E Milton, ON L9T 6R1",43.5427269,-79.8669586,43.5427269-79.8669586,2021-03-29
Loblaw Pharmacy,250 Lakeshore Rd W,"Mississauga, ON",L5H 1G3,"250 Lakeshore Rd W Mississauga, ON L5H 1G3",43.5458071,-79.5921105,43.5458071-79.5921105,2021-03-29
Rexall,666 Woolwich St Unit 140,"Guelph, ON",N1H 7G5,"666 Woolwich St Unit 140 Guelph, ON N1H 7G5",43.5583725,-80.2696782,43.5583725-80.2696782,2021-03-29
Walmart Pharmacy,5100 Erin Mills Parkway,"Mississauga, ON",L5M 4Z5,"5100 Erin Mills Parkway Mississauga, ON L5M 4Z5",43.5586447,-79.7115912,43.5586447-79.7115912,2021-03-29
Shoppers Drug Mart,5602 Tenth Line W Unit 101,"Mississauga, ON",L5M 5S5,"5602 Tenth Line W Unit 101 Mississauga, ON L5M 5S5",43.5591152,-79.7447193,43.5591152-79.7447193,2021-03-29
Carl's IDA Pharmacy,1207 Hurontario St,"Mississauga, ON",L5G 3H2,"1207 Hurontario St Mississauga, ON L5G 3H2",43.5593338,-79.5867252,43.5593338-79.5867252,2021-03-29
Woodland Village Pharmacy,3353 The Credit Woodlands,"Mississauga, ON",L5C 2K1,"3353 The Credit Woodlands Mississauga, ON L5C 2K1",43.5595002,-79.6576223,43.5595002-79.6576223,2021-03-29
Pharmasave Michael's Pharmacy,2 Main St S,"Bayfield, ON",N0M 1G0,"2 Main St S Bayfield, ON N0M 1G0",43.5616145,-81.6959952,43.5616145-81.6959952,2021-03-29
Rexall,1240 Eglinton Ave W Unit B7,"Mississauga, ON",L5V 1N3,"1240 Eglinton Ave W Unit B7 Mississauga, ON L5V 1N3",43.5795537,-79.6816002,43.5795537-79.6816002,2021-03-29
Shoppers Drug Mart,3980 Grand Park Dr,"Mississauga, ON",L5B 4M6,"3980 Grand Park Dr Mississauga, ON L5B 4M6",43.5809762,-79.6490702,43.5809762-79.6490702,2021-03-29
Shoppers Drug Mart,5425 Creditview Rd Unit 1,"Mississauga, ON",L5V 2P3,"5425 Creditview Rd Unit 1 Mississauga, ON L5V 2P3",43.5869617,-79.6958408,43.5869617-79.6958408,2021-03-29
Shoppers Drug Mart,1585 Mississauga Valley Blvd,"Mississauga, ON",L5A 3W9,"1585 Mississauga Valley Blvd Mississauga, ON L5A 3W9",43.5922322,-79.6259097,43.5922322-79.6259097,2021-03-29
Drug Store Pharmacy,1250 S Service Rd,"Mississauga, ON",L5E 1V4,"1250 S Service Rd Mississauga, ON L5E 1V4",43.5930256,-79.5689483,43.5930256-79.5689483,2021-03-29
Walmart Pharmacy,100 City Centre Dr,"Mississauga, ON",L5B 2C9,"100 City Centre Dr Mississauga, ON L5B 2C9",43.5930784,-79.6424911,43.5930784-79.6424911,2021-03-29
Rexall,3701 Lake Shore Blvd W,"Toronto, ON",M8W 1P8,"3701 Lake Shore Blvd W Toronto, ON M8W 1P8",43.5930846,-79.5384814,43.5930846-79.5384814,2021-03-29
Shoppers Drug Mart,3730 Lake Share Blvd W Unit 102,"Etobicoke, ON",M8W 1N6,"3730 Lake Share Blvd W Unit 102 Etobicoke, ON M8W 1N6",43.5940384,-79.5396199,43.5940384-79.5396199,2021-03-10
Drugstore Pharmacy,3050 Argentia Rd,"Mississauga, ON",L5N 8E1,"3050 Argentia Rd Mississauga, ON L5N 8E1",43.5953804,-79.7856304,43.5953804-79.7856304,2021-03-29
Unicare Pharmacy,3170 Lakeshore Blvd W,"Etobicoke, ON",M8V 3X8,"3170 Lakeshore Blvd W Etobicoke, ON M8V 3X8",43.5983062,-79.5178809,43.5983062-79.5178809,2021-03-10
Heritage Hills Pharmacy,4646 Heritage Hills Blvd Unit 9-10,"Mississauga, ON",L5R 1Y4,"4646 Heritage Hills Blvd Unit 9-10 Mississauga, ON L5R 1Y4",43.5985631,-79.6606921,43.5985631-79.6606921,2021-03-29
Shoppers Drug Mart,11 Arthur St N,"Elmira, ON",N3B 1Z4,"11 Arthur St N Elmira, ON N3B 1Z4",43.6001912,-80.5572996,43.6001912-80.5572996,2021-04-02
Rexall,377 Burnamthorpe Rd E,"Mississauga, ON",L5A 3Y1,"377 Burnamthorpe Rd E Mississauga, ON L5A 3Y1",43.602649,-79.6261679,43.602649-79.6261679,2021-03-29
Dixie 5 Pharmacy,1185 Dundas St E,"Mississauga, ON",L4Y 2C6,"1185 Dundas St E Mississauga, ON L4Y 2C6",43.6053492,-79.5895341,43.6053492-79.5895341,2021-03-29
Shoppers Drug Mart,5035 Hurontario St,"Mississauga, ON",L4Z 3X7,"5035 Hurontario St Mississauga, ON L4Z 3X7",43.6081989,-79.6527543,43.6081989-79.6527543,2021-03-29
Walmart,1500 Dundas St E,"Mississauga, ON",L4X 1L4,"1500 Dundas St E Mississauga, ON L4X 1L4",43.6089475,-79.5773763,43.6089475-79.5773763,2021-03-29
Costco Pharmacy,5900 Rodeo Dr,"Mississauga, ON",L5R 3S9,"5900 Rodeo Dr Mississauga, ON L5R 3S9",43.6121428,-79.6903758,43.6121428-79.6903758,2021-03-29
The Drugstore Pharmcy,220 Royal York Rd,"Etobicoke, ON",M8V 2V7,"220 Royal York Rd Etobicoke, ON M8V 2V7",43.6122327,-79.4978941,43.6122327-79.4978941,2021-03-29
Hills Medical Pharmacy,1221 Bloor St E,"Mississauga, ON",L4Y 2N8,"1221 Bloor St E Mississauga, ON L4Y 2N8",43.6132975,-79.5984867,43.6132975-79.5984867,2021-03-29
Lakeside Pharmacy,2438 Lake Shore Blvd W,"Etobicoke, ON",M8V 1C4,"2438 Lake Shore Blvd W Etobicoke, ON M8V 1C4",43.6142601,-79.4892689,43.6142601-79.4892689,2021-03-10
Walmart Pharmacy,165 N Queen St,"Etobicoke, ON",M9C 1A7,"165 N Queen St Etobicoke, ON M9C 1A7",43.6183959,-79.5541975,43.6183959-79.5541975,2021-03-29
Kipling & Queensway Pharmacy,1255 THE Queensway Unit 20,"Etobicoke, ON",M8Z 1S1,"1255 THE Queensway Unit 20 Etobicoke, ON M8Z 1S1",43.6198702,-79.5231582,43.6198702-79.5231582,2021-03-10
Shoppers Drug Mart,2206 Lake Shore Blvd W,"Etobicoke, ON",M8V 1A4,"2206 Lake Shore Blvd W Etobicoke, ON M8V 1A4",43.6229404,-79.482241,43.6229404-79.482241,2021-03-10
Costco,50 Queen Elizabeth Blvd,"Etobicoke, ON",M8Z 1M1,"50 Queen Elizabeth Blvd Etobicoke, ON M8Z 1M1",43.6234511,-79.5076464,43.6234511-79.5076464,2021-03-10
Shoppers Drug Mart,4141 Dixie Rd,"Mississauga, ON",L4W 1V5,"4141 Dixie Rd Mississauga, ON L4W 1V5",43.6252506,-79.6045863,43.6252506-79.6045863,2021-03-29
Shoppers Drug Mart,125 The Queensway,"Etobicoke, ON",M8Y 1H6,"125 The Queensway Etobicoke, ON M8Y 1H6",43.63032,-79.4813469,43.63032-79.4813469,2021-03-10
Markland Wood Pharmacy,4335 Bloor St W,"Toronto, ON",M9C 2A5,"4335 Bloor St W Toronto, ON M9C 2A5",43.6308387,-79.5757084,43.6308387-79.5757084,2021-03-10
Loblaw,1020 Islington Ave,"Toronto, ON",M8Z 4R3,"1020 Islington Ave Toronto, ON M8Z 4R3",43.6313497,-79.5192425,43.6313497-79.5192425,2021-03-10
Rexall,250 The E Mall,"Etobicoke, ON",M9B 3Y8,"250 The E Mall Etobicoke, ON M9B 3Y8",43.6324095,-79.5564805,43.6324095-79.5564805,2021-03-10
Glen Cade Pharmacy,290 The W Mall,"Etobicoke, ON",M9C 1C6,"290 The W Mall Etobicoke, ON M9C 1C6",43.6348382,-79.5627147,43.6348382-79.5627147,2021-03-10
Shoppers Drug Mart,7070 Mclaughlin Rd,"Mississauga, ON",L5W 1W7,"7070 Mclaughlin Rd Mississauga, ON L5W 1W7",43.6367569,-79.71948,43.6367569-79.71948,2021-03-29
Clinicplus I.D.A. Pharmacy,10 Neighbourhood Lane Unit 103,"Etobicoke, ON",M8Y 0C5,"10 Neighbourhood Lane Unit 103 Etobicoke, ON M8Y 0C5",43.6373832,-79.4887769,43.6373832-79.4887769,2021-03-10
Shoppers Drug Mart,390 Queens Quay W Unit 110,"Toronto, ON",M5V 3A6,"390 Queens Quay W Unit 110 Toronto, ON M5V 3A6",43.638124,-79.390814,43.638124-79.390814,2021-03-29
One Eva,1 Eva Rd,"Etobicoke, ON",M9C 4Z5,"1 Eva Rd Etobicoke, ON M9C 4Z5",43.6390931,-79.5621878,43.6390931-79.5621878,2021-03-10
Shoppers Drug Mart,1473 Queen St W,"Toronto, ON",M6R 1A1,"1473 Queen St W Toronto, ON M6R 1A1",43.639897,-79.4390485,43.639897-79.4390485,2021-03-10
Shoppers Drug Mart,1090 King St W,"Toronto, ON",M6K 0C7,"1090 King St W Toronto, ON M6K 0C7",43.6401606,-79.422434,43.6401606-79.422434,2021-03-10
Shoppers Drug Mart,5230 Dundas St W,"Etobicoke, ON",M9B 1A8,"5230 Dundas St W Etobicoke, ON M9B 1A8",43.640347,-79.5381525,43.640347-79.5381525,2021-03-10
Rexall,88 Queens Quay W,"Toronto, ON",M5J 0B8,"88 Queens Quay W Toronto, ON M5J 0B8",43.6410825,-79.3787196,43.6410825-79.3787196,2021-03-10
Shoppers Drug Mart,666 Burnhamthorpe Rd,"Etobicoke, ON",M9C 2Z4,"666 Burnhamthorpe Rd Etobicoke, ON M9C 2Z4",43.6413056,-79.5773763,43.6413056-79.5773763,2021-03-10
Morelli's Pharmacy,15 York St,"Toronto, ON",M5J 0A3,"15 York St Toronto, ON M5J 0A3",43.6421609,-79.3806942,43.6421609-79.3806942,2021-03-29
Shoppers Drug Mart,761 King St W,"Toronto, ON",M5V 1N4,"761 King St W Toronto, ON M5V 1N4",43.6431005,-79.4058916,43.6431005-79.4058916,2021-03-10
Welcome Guardian Drugs (Roncesvalles),137 Roncesvalles Ave,"Toronto, ON",M6R 2L2,"137 Roncesvalles Ave Toronto, ON M6R 2L2",43.6433558,-79.4474712,43.6433558-79.4474712,2021-03-10
Shoppers Drug Mart,1033 Queem St W Unit A,"Toronto, ON",M6J 0A6,"1033 Queem St W Unit A Toronto, ON M6J 0A6",43.6438493,-79.419533,43.6438493-79.419533,2021-03-10
Loblaw,380 The E Mall,"Etobicoke, ON",M9B 6L5,"380 The E Mall Etobicoke, ON M9B 6L5",43.643878,-79.5601684,43.643878-79.5601684,2021-03-10
Loblaw,10 Lower Jarvis St,"Toronto, ON",M5E 1Z2,"10 Lower Jarvis St Toronto, ON M5E 1Z2",43.6447705,-79.3701389,43.6447705-79.3701389,2021-03-10
Rexall,200 Wellington St W Unit 200 PO Box 101,"Toronto, ON",M5V 3C7,"200 Wellington St W Unit 200 PO Box 101 Toronto, ON M5V 3C7",43.645852,-79.387863,43.645852-79.387863,2021-03-10
Rexall,200 Wellington St W Unit 200,"Toronto, ON",M5V 3C7,"200 Wellington St W Unit 200 Toronto, ON M5V 3C7",43.6459076,-79.3878224,43.6459076-79.3878224,2021-03-29
Islington Medical Pharmacy,1243 Islington Ave,"Toronto, ON",M8X 1Y9,"1243 Islington Ave Toronto, ON M8X 1Y9",43.6459171,-79.5235467,43.6459171-79.5235467,2021-03-10
Shoppers Drug Mart,388 King St W,"Toronto, ON",M5V 1K2,"388 King St W Toronto, ON M5V 1K2",43.6462412,-79.3926619,43.6462412-79.3926619,2021-03-10
Shoppers Drug Mart,200 Bay St,"Toronto, ON",M5J 2J3,"200 Bay St Toronto, ON M5J 2J3",43.6465177,-79.3800808,43.6465177-79.3800808,2021-03-10
Shoppers Drug Mart,181 Bay St,"Toronto, ON",M5J 2T3,"181 Bay St Toronto, ON M5J 2T3",43.6469771,-79.379275,43.6469771-79.379275,2021-03-10
Loblaw Pharmacy,585 Queen St W,"Toronto, ON",M5V 2B7,"585 Queen St W Toronto, ON M5V 2B7",43.6473554,-79.4016963,43.6473554-79.4016963,2021-03-29
Shoppers Drug Mart,66 Wellington St W Unit 10,"Toronto, ON",M5K 1A1,"66 Wellington St W Unit 10 Toronto, ON M5K 1A1",43.6476696,-79.3810141,43.6476696-79.3810141,2021-03-10
Shoppers Drug Mart,3010 Bloor St W,"Etobicoke, ON",M8X 1C2,"3010 Bloor St W Etobicoke, ON M8X 1C2",43.6477305,-79.5110433,43.6477305-79.5110433,2021-03-10
Shoppers Drug Mart,524 Queen St W,"Toronto, ON",M5V 2B5,"524 Queen St W Toronto, ON M5V 2B5",43.647818,-79.4023038,43.647818-79.4023038,2021-03-10
Rexall,199 Bay St Unit C186,"Toronto, ON",M5L 1E7,"199 Bay St Unit C186 Toronto, ON M5L 1E7",43.6481342,-79.3794903,43.6481342-79.3794903,2021-03-29
Rexall,63 Front St E,"Toronto, ON",M5E 1B3,"63 Front St E Toronto, ON M5E 1B3",43.6482103,-79.3738649,43.6482103-79.3738649,2021-03-10
Canadian Compounding Pharmacy,2920 Bloor St W,"Toronto, ON",M8X 1B6,"2920 Bloor St W Toronto, ON M8X 1B6",43.648507,-79.5072291,43.648507-79.5072291,2021-03-10
Rexall,1 First Canadian Place Unit # CN1038,"Toronto, ON",M5X 1C8,"1 First Canadian Place Unit # CN1038 Toronto, ON M5X 1C8",43.6486111,-79.3816667,43.6486111-79.3816667,2021-03-10
Shoppers Drug Mart,69 Yonge St,"Toronto, ON",M5E 1K3,"69 Yonge St Toronto, ON M5E 1K3",43.649001,-79.3776402,43.649001-79.3776402,2021-03-10
Rexall,4890 Dundas St W,"Etobicoke, ON",M9A 1B5,"4890 Dundas St W Etobicoke, ON M9A 1B5",43.6494535,-79.5285095,43.6494535-79.5285095,2021-03-29
Loblaw,222 Lansdowne Ave,"Toronto, ON",M6K 3C6,"222 Lansdowne Ave Toronto, ON M6K 3C6",43.649696,-79.4403251,43.649696-79.4403251,2021-03-10
Rexall,120 Adelaide St W Unit # R28,"Toronto, ON",M5H 1T1,"120 Adelaide St W Unit # R28 Toronto, ON M5H 1T1",43.6497566,-79.3830492,43.6497566-79.3830492,2021-03-10
Shoppers Drug Mart,260 Queen St W,"Toronto, ON",M5V 1Z8,"260 Queen St W Toronto, ON M5V 1Z8",43.6498673,-79.3918351,43.6498673-79.3918351,2021-03-10
Young's Pharmacy And Homecare,47 Main St S,"Georgetown, ON",L7G 3G2,"47 Main St S Georgetown, ON L7G 3G2",43.6501473,-79.9267878,43.6501473-79.9267878,2021-03-29
Shoppers Drug Mart,333 Bay St,"Toronto, ON",M5H 2R2,"333 Bay St Toronto, ON M5H 2R2",43.6503406,-79.3805207,43.6503406-79.3805207,2021-03-10
Rexall,250 University Ave Unit 120,"Toronto, ON",M5H 3E5,"250 University Ave Unit 120 Toronto, ON M5H 3E5",43.6505493,-79.3870518,43.6505493-79.3870518,2021-03-10
Shoppers Drug Mart,2223 Bloor St W,"Toronto, ON",M6S 1N7,"2223 Bloor St W Toronto, ON M6S 1N7",43.6506064,-79.4764527,43.6506064-79.4764527,2021-03-10
Shoppers Drug Mart,18 Jarvis St,"Toronto, ON",M5E 1N1,"18 Jarvis St Toronto, ON M5E 1N1",43.6507187,-79.372168,43.6507187-79.372168,2021-03-10
Healing Source Pharmacy,2209 Bloor St W,"Toronto, ON",M6S 1N5,"2209 Bloor St W Toronto, ON M6S 1N5",43.6510068,-79.4757716,43.6510068-79.4757716,2021-03-10
Loblaw,200 Front St E,"Toronto, ON",M5A 4T9,"200 Front St E Toronto, ON M5A 4T9",43.6514188,-79.3659472,43.6514188-79.3659472,2021-03-10
Loblaw Pharmacy,171 Guelph St,"Georgetown, ON",L7G 4A1,"171 Guelph St Georgetown, ON L7G 4A1",43.6514813,-79.9063946,43.6514813-79.9063946,2021-03-29
Mortar + Pestle Compounding Pharmacy,1997 Bloor St W,"Toronto, ON",M6S 1M4,"1997 Bloor St W Toronto, ON M6S 1M4",43.6521306,-79.4708218,43.6521306-79.4708218,2021-03-10
Rexall,285 Spadina Ave,"Toronto, ON",M5T 2E6,"285 Spadina Ave Toronto, ON M5T 2E6",43.6532479,-79.3978375,43.6532479-79.3978375,2021-03-10
High Park,1938 Bloor St W,"Toronto, ON",M6P 3K8,"1938 Bloor St W Toronto, ON M6P 3K8",43.6533747,-79.4667907,43.6533747-79.4667907,2021-03-10
Shoppers Drug Mart,725 College St,"Toronto, ON",M6G 1C5,"725 College St Toronto, ON M6G 1C5",43.654263,-79.4189143,43.654263-79.4189143,2021-03-10
Rexall,545 Steeles Ave W Unit A01,"Brampton, ON",L6Y 4E7,"545 Steeles Ave W Unit A01 Brampton, ON L6Y 4E7",43.6547754,-79.7439307,43.6547754-79.7439307,2021-04-03
Loblaws,2280 Dundas St W,"Toronto, ON",M6R1X4,"2280 Dundas St W Toronto, ON M6R1X4",43.6556207,-79.4498001,43.6556207-79.4498001,2021-03-29
Shoppers Drug Mart,279 Yonge St,"Toronto, ON",M5B 1N8,"279 Yonge St Toronto, ON M5B 1N8",43.6556497,-79.380301,43.6556497-79.380301,2021-03-10
Shoppers Drug Mart,600 The E Mall Unit 1,"Etobicoke, ON",M9B 4S1,"600 The E Mall Unit 1 Etobicoke, ON M9B 4S1",43.6559004,-79.5658755,43.6559004-79.5658755,2021-03-10
Rexall,595 Bay St,"Toronto, ON",M5G 2C2,"595 Bay St Toronto, ON M5G 2C2",43.6562198,-79.3832909,43.6562198-79.3832909,2021-03-10
Metro Drugs,129 Dundas St E,"Toronto, ON",M5B 2N6,"129 Dundas St E Toronto, ON M5B 2N6",43.6565539,-79.3761617,43.6565539-79.3761617,2021-03-10
Rexall,600 University Ave,"Toronto, ON",M5G 1X5,"600 University Ave Toronto, ON M5G 1X5",43.6575156,-79.3901743,43.6575156-79.3901743,2021-03-10
Rexall,474 Spadina Ave,"Toronto, ON",M5T 2G8,"474 Spadina Ave Toronto, ON M5T 2G8",43.6577255,-79.400333,43.6577255-79.400333,2021-03-10
Shoppers Drug Mart,1015 Lakeshore Blvd E,"Toronto, ON",M4M 1B4,"1015 Lakeshore Blvd E Toronto, ON M4M 1B4",43.6582347,-79.3287763,43.6582347-79.3287763,2021-03-10
Jarvis St. Apothecary,275 Jarvis St,"Toronto, ON",M5B 2C2,"275 Jarvis St Toronto, ON M5B 2C2",43.6582621,-79.374726,43.6582621-79.374726,2021-03-10
Lingeman I.D.A. Pharmacy,411 Jane St,"Toronto, ON",M6S 3Z6,"411 Jane St Toronto, ON M6S 3Z6",43.6587064,-79.4880308,43.6587064-79.4880308,2021-03-11
Shoppers Drug Mart,2440 Dundas St W,"Toronto, ON",M6P 1W9,"2440 Dundas St W Toronto, ON M6P 1W9",43.6592201,-79.4530285,43.6592201-79.4530285,2021-03-10
Rexall,777 Bay St Unit C 216,"Toronto, ON",M5G 2C8,"777 Bay St Unit C 216 Toronto, ON M5G 2C8",43.6604859,-79.3844559,43.6604859-79.3844559,2021-03-10
Loblaw,17 Leslie St,"Toronto, ON",M4M 3H9,"17 Leslie St Toronto, ON M4M 3H9",43.6608701,-79.3284242,43.6608701-79.3284242,2021-03-10
Shoppers Drug Mart,970 Queen St E,"Toronto, ON",M4M 1J8,"970 Queen St E Toronto, ON M4M 1J8",43.6612056,-79.3406589,43.6612056-79.3406589,2021-03-10
Shoppers Drug Mart,270 The Kingsway,"Etobicoke, ON",M9A 3T7,"270 The Kingsway Etobicoke, ON M9A 3T7",43.6615135,-79.5197696,43.6615135-79.5197696,2021-03-10
Shoppers Drug Mart,958 Bloor St W,"Toronto, ON",M6H 1L6,"958 Bloor St W Toronto, ON M6H 1L6",43.6616319,-79.428763,43.6616319-79.428763,2021-03-10
Shoppers Drug Mart,465 Yonge St,"Toronto, ON",M4Y 1X4,"465 Yonge St Toronto, ON M4Y 1X4",43.6618227,-79.3830287,43.6618227-79.3830287,2021-03-10
Loblaw,60 Carlton St,"Toronto, ON",M5B 1L1,"60 Carlton St Toronto, ON M5B 1L1",43.6621911,-79.3802435,43.6621911-79.3802435,2021-03-10
Greendale Drugs,152 Carlton St,"Toronto, ON",M5A 2K1,"152 Carlton St Toronto, ON M5A 2K1",43.6630098,-79.3745838,43.6630098-79.3745838,2021-03-10
Sanomed Pharmacy & Compounding Centre,1000 Bay St,"Toronto, ON",M5S 3A8,"1000 Bay St Toronto, ON M5S 3A8",43.6650475,-79.387829,43.6650475-79.387829,2021-03-11
Junction Chemist Pharmacy,17 St Johns Rd,"Toronto, ON",M6P 1T7,"17 St Johns Rd Toronto, ON M6P 1T7",43.6652578,-79.473926,43.6652578-79.473926,2021-03-10
Rexall,63 Wellesley St E,"Toronto, ON",M4Y 1G7,"63 Wellesley St E Toronto, ON M4Y 1G7",43.6653729,-79.3811801,43.6653729-79.3811801,2021-03-10
Pharmasave,720 Spadina Ave Unit 100,"Toronto, ON",M5S 2T9,"720 Spadina Ave Unit 100 Toronto, ON M5S 2T9",43.6653855,-79.4034771,43.6653855-79.4034771,2021-03-10
Loblaw,3671 Dundas Steet W,"Etobicoke, ON",M6S 2T3,"3671 Dundas Steet W Etobicoke, ON M6S 2T3",43.665388,-79.495905,43.665388-79.495905,2021-03-10
Loblaws,3671 Dundas St W,"Etobicoke, ON",M6S 2T3,"3671 Dundas St W Etobicoke, ON M6S 2T3",43.6654493,-79.4957853,43.6654493-79.4957853,2021-03-29
Dundas West Village Pharmacy,2940 Dundas St W,"Toronto, ON",M6P 1Y8,"2940 Dundas St W Toronto, ON M6P 1Y8",43.6656136,-79.4675601,43.6656136-79.4675601,2021-03-29
Junction Pharmacy,3016 Dundas St W,"Toronto, ON",M6P1Z3,"3016 Dundas St W Toronto, ON M6P1Z3",43.6656651,-79.4699271,43.6656651-79.4699271,2021-03-29
Rexall,481 Bloor St W,"Toronto, ON",M5S 1Y2,"481 Bloor St W Toronto, ON M5S 1Y2",43.6657664,-79.4071296,43.6657664-79.4071296,2021-03-29
Rexall,539 Parliament St,"Toronto, ON",M4X 1P7,"539 Parliament St Toronto, ON M4X 1P7",43.6661388,-79.3683352,43.6661388-79.3683352,2021-03-10
Rexall,499 Main St S,"Brampton, ON",L6Y 1N7,"499 Main St S Brampton, ON L6Y 1N7",43.6661412,-79.7375339,43.6661412-79.7375339,2021-03-29
Shoppers Drug Mart,3446 Dundas St W,"Toronto, ON",M6S 2S1,"3446 Dundas St W Toronto, ON M6S 2S1",43.6661678,-79.4867346,43.6661678-79.4867346,2021-03-10
Symington Pharmacy,333 Symington Ave,"Toronto, ON",M6P 3X1,"333 Symington Ave Toronto, ON M6P 3X1",43.6664699,-79.4512356,43.6664699-79.4512356,2021-03-10
Shoppers Drug Mart,1400 Dupont St,"Toronto, ON",M6H 2B2,"1400 Dupont St Toronto, ON M6H 2B2",43.6667712,-79.4473799,43.6667712-79.4473799,2021-03-29
Well+Good Pharmacy,557 Church St,"Toronto, ON",M4Y 2E2,"557 Church St Toronto, ON M4Y 2E2",43.6672314,-79.3812547,43.6672314-79.3812547,2021-03-10
Snowden Pharmacy,264 Bloor St W,"Toronto, ON",M5S 1V8,"264 Bloor St W Toronto, ON M5S 1V8",43.6675767,-79.4002614,43.6675767-79.4002614,2021-03-10
Rexall,1245 Dupont St,"Toronto, ON",M6H 2A6,"1245 Dupont St Toronto, ON M6H 2A6",43.6676544,-79.4420834,43.6676544-79.4420834,2021-03-10
Walmart,2525 Saint Clair Ave W,"Toronto, ON",M6N 4Z5,"2525 Saint Clair Ave W Toronto, ON M6N 4Z5",43.6680541,-79.4845815,43.6680541-79.4845815,2021-03-10
Shoppers Drug Mart,236 Bloor St W,"Toronto, ON",M5S 1T8,"236 Bloor St W Toronto, ON M5S 1T8",43.6683598,-79.3967611,43.6683598-79.3967611,2021-03-10
Total Health Pharmacy,997 Gerrard St E,"Toronto, ON",M4M 1Z4,"997 Gerrard St E Toronto, ON M4M 1Z4",43.6685011,-79.3380405,43.6685011-79.3380405,2021-03-10
